date,Open,High,Low,Close,Adj Close,Volume,title,description,url,source,publishedAt,title_sentiment_hf,description_sentiment_hf,SMA,EMA,RSI
2024-10-28,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438,233.14349365234375,36087100,"Apple Reveals the New 2024 iMac: Familiar on the Outside, but With New Power Inside","Apple showed off a new 24-inch iMac with a variety of color options, though there's still no option for a M4 Pro chip.",https://gizmodo.com/apple-reveals-the-new-2024-imac-familiar-on-the-outside-but-with-new-power-inside-2000517276,Gizmodo.com,2024-10-28 15:15:08+00:00,POSITIVE,NEGATIVE,,233.39999389648438,
2024-10-28,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438,233.14349365234375,36087100,"Apple Reveals the New 2024 iMac: Familiar on the Outside, but With New Power Inside","Apple showed off a new 24-inch iMac with a variety of color options, though there's still no option for a M4 Pro chip.",https://gizmodo.com/apple-reveals-the-new-2024-imac-familiar-on-the-outside-but-with-new-power-inside-2000517276,Gizmodo.com,2024-10-28 15:15:08+00:00,POSITIVE,NEGATIVE,,233.39999389648438,
2024-10-29,233.10000610351562,234.3300018310547,232.32000732421875,233.6699981689453,233.41319274902344,35417200,,,,,,,,,233.48999532063803,
2024-10-30,232.61000061035156,233.47000122070312,229.5500030517578,230.10000610351562,229.8471221923828,47070900,Deck Your Halls for Less: 14 Christmas Decor Ideas Using IKEA Finds,"As the year draws to a close, the holiday season is upon us once again. Although we still have two months until Christmas, studies have shown decorating early is actually good for your mood. The vibrant colors and twinkling lights simply trigger the release f…",https://ikeahackers.net/2024/10/christmas-decor-ideas-ikea.html,Ikeahackers.net,2024-10-30 10:00:00+00:00,NEGATIVE,POSITIVE,,232.3599989149306,
2024-10-31,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938,225.66172790527344,64370100,"Stock market today: Indexes drop as tech shares slide before Apple, Amazon earnings",Indexes fell for a second day on Thursday as investors reacted to the latest tech earnings and digested the Fed's preferred inflation gauge.,https://markets.businessinsider.com/news/stocks/stock-market-today-apple-amazon-tech-earnings-microsoft-meta-iphone-2024-10,Business Insider,2024-10-31 13:40:20+00:00,NEGATIVE,NEGATIVE,231.2959991455078,230.21000049732356,3.3624447510137685
2024-11-01,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938,222.66502380371094,65276700,It's time for Samsung to step up its support game,Samsung needs to offer the same type of support its biggest competitor does.,https://www.androidcentral.com/phones/we-need-more-samsung-stores,Android Central,2024-11-01 18:12:39+00:00,NEGATIVE,NEGATIVE,229.1980010986328,227.77666821891887,2.4479084527890507
2024-11-04,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594,221.76600646972656,44944500,Roborock Qrevo Curv Review: Literally Climbing to the Top of the Robot Vacuum Rankings,"The Roborock Qrevo Curv has unbeatable suction power, corner sweeping, extendable mops, and the ability to vault over thresholds. This vacuum goes places others can’t.",https://gizmodo.com/roborock-qrevo-curv-review-2000518836,Gizmodo.com,2024-11-04 17:00:13+00:00,NEGATIVE,POSITIVE,226.9200012207031,225.85444364822456,2.2632363192192884
2024-11-05,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,223.2044219970703,28111300,"Amazon Slashes The Price Of The Dyson Outsize, Featuring XL Capacity For Larger Homes","If you have a large home, a Dyson ""Outsize"" is a must-have for efficient cleaning.",https://gizmodo.com/amazon-slashes-the-price-of-the-dyson-outsize-featuring-xl-capacity-for-larger-homes-2000520541,Gizmodo.com,2024-11-05 12:40:16+00:00,NEGATIVE,POSITIVE,224.8760009765625,225.0529614148971,10.99237992736353
2024-11-06,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,222.47523498535156,54561100,"With Nearly 35% Off, This MacBook Pro M3 Is at a Record Low Price on Amazon Before Black Friday",$500 Off On A MacBook Pro M3 Is Unprecedented.,https://gizmodo.com/with-nearly-35-off-this-macbook-pro-m3-is-at-a-record-low-price-on-amazon-before-black-friday-2000521082,Gizmodo.com,2024-11-06 14:48:05+00:00,NEGATIVE,NEGATIVE,223.4,224.27530801683247,14.0350981558596
2024-11-06,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,222.47523498535156,54561100,"With Nearly 35% Off, This MacBook Pro M3 Is at a Record Low Price on Amazon Before Black Friday",$500 Off On A MacBook Pro M3 Is Unprecedented.,https://gizmodo.com/with-nearly-35-off-this-macbook-pro-m3-is-at-a-record-low-price-on-amazon-before-black-friday-2000521082,Gizmodo.com,2024-11-06 14:48:05+00:00,NEGATIVE,NEGATIVE,222.76199951171876,223.7568724181227,23.723240590843744
2024-11-07,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753906,227.22999572753906,42137700,,,,,,,,223.67599792480468,224.99791352126152,79.18257341463558
2024-11-08,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,226.9600067138672,38328800,[Removed],[Removed],https://removed.com,[Removed],2024-11-08 16:14:04+00:00,NEGATIVE,NEGATIVE,224.66600036621094,225.65194458546344,83.22164008831686
2024-11-08,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,226.9600067138672,38328800,[Removed],[Removed],https://removed.com,[Removed],2024-11-08 16:14:04+00:00,NEGATIVE,NEGATIVE,225.36800231933594,226.08796529493137,79.2015131896311
2024-11-11,225.0,225.6999969482422,221.5,224.22999572753906,224.22999572753906,42005600,"AirTags See a Second Price Drop, Now at a Record Low on Amazon Ahead Of Black Friday",This is the lowest price ever seen for a single AirTag.,https://gizmodo.com/airtags-see-a-second-price-drop-now-at-a-record-low-on-amazon-ahead-of-black-friday-2000522983,Gizmodo.com,2024-11-11 14:51:01+00:00,NEGATIVE,NEGATIVE,225.6700012207031,225.46864210580063,59.425690027298195
2024-11-12,224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906,224.22999572753906,40398300,[Removed],[Removed],https://removed.com,[Removed],2024-11-12 15:35:44+00:00,NEGATIVE,NEGATIVE,225.9720001220703,225.05575997971346,59.425690027298195
2024-11-12,224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906,224.22999572753906,40398300,[Removed],[Removed],https://removed.com,[Removed],2024-11-12 15:35:44+00:00,NEGATIVE,NEGATIVE,225.3220001220703,224.7805052289887,0.0
2024-11-13,224.00999450683594,226.64999389648438,222.75999450683594,225.1199951171875,225.1199951171875,48566200,20 Best Early Black Friday Deals of 2024 to Shop Right Now,"It doesn’t officially arrive until November 29, but the Black Friday deals have already begun. Shop steep discounts on gear tested and approved by our editors.",https://www.wired.com/story/early-black-friday-deals-2024/,Wired,2024-11-13 16:01:00+00:00,POSITIVE,NEGATIVE,224.95399780273436,224.89366852505498,24.585548029219225
2024-11-14,225.02000427246094,228.8699951171875,225.0,228.22000122070312,228.22000122070312,44923900,"Years later, Spotify still says it's working on 'Super Premium' with lossless audio",Spotify wants you to pay more for features that are already included by its competitors.,https://www.androidcentral.com/apps-software/years-later-spotify-still-says-its-working-on-super-premium-with-lossless-audio,Android Central,2024-11-14 19:22:29+00:00,NEGATIVE,NEGATIVE,225.20599670410155,226.00244609027104,59.37493613803721
2024-11-15,226.39999389648438,226.9199981689453,224.27000427246094,225.0,225.0,47923700,,,,,,,,225.35999755859376,225.66829739351405,55.339830481572015
2024-11-18,225.25,229.74000549316406,225.1699981689453,228.02000427246094,228.02000427246094,44686000,,,,,,,,226.1179992675781,226.45219968649636,68.52397103965491
